title,genre,overview,year,rating
Inception,Sci-Fi Action,"A thief who enters the dreams of others to steal secrets.",2010,8.8
Interstellar,Sci-Fi Drama,"A team of explorers travel through a wormhole in space to find a new home for humanity.",2014,8.7
The Dark Knight,Action Crime Drama,"A masked hero fights a dangerous criminal who creates chaos in Gotham City.",2008,9.0
Avengers Endgame,Action Sci-Fi,"Superheroes join together for one final battle to save the universe.",2019,8.4
Iron Man,Action Sci-Fi,"A billionaire builds a powerful armored suit and becomes a superhero.",2008,7.9
Avengers Infinity War,Action Sci-Fi,"Superheroes try to stop a powerful villain from collecting the infinity stones.",2018,8.4
Thor,Action Fantasy,"A powerful warrior is sent to Earth and learns what it means to be a hero.",2011,7.0
Captain America,Action Adventure,"A young soldier becomes a super soldier and fights to protect his country.",2011,6.9
Guardians of the Galaxy,Action Comedy Sci-Fi,"A group of unusual heroes joins together to protect the galaxy.",2014,8.0
Doctor Strange,Action Fantasy,"A talented surgeon learns mystical powers and protects the world from magical threats.",2016,7.5
Black Panther,Action Adventure,"A king returns home and must protect his advanced African kingdom.",2018,7.3
Spider Man,Action Adventure,"A teenager gains special powers and uses them to protect people.",2002,7.3
Jurassic Park,Sci-Fi Adventure,"Scientists create a theme park filled with genetically recreated dinosaurs.",1993,8.2
Avatar,Sci-Fi Adventure,"A marine explores an alien world and becomes involved in a conflict.",2009,7.8
The Matrix,Sci-Fi Action,"A computer programmer discovers that reality is not what it seems.",1999,8.7
Titanic,Romance Drama,"Two people from different social backgrounds fall in love during a famous ocean voyage.",1997,7.9
The Lion King,Animation Adventure,"A young lion must accept his responsibility as king of his homeland.",1994,8.5
Toy Story,Animation Comedy,"Toys come to life when humans are not around and experience adventures.",1995,8.3
Finding Nemo,Animation Adventure,"A father travels across the ocean to find his missing son.",2003,8.2
Harry Potter,Fantasy Adventure,"A young wizard discovers his magical abilities and attends a school of magic.",2001,7.6
The Lord of the Rings,Fantasy Adventure,"A group of heroes begins a dangerous journey to destroy a powerful ring.",2001,8.8
Pirates of the Caribbean,Action Adventure,"A pirate and his allies face supernatural enemies on the sea.",2003,8.1
Mission Impossible,Action Thriller,"A skilled agent completes dangerous missions involving espionage and deception.",1996,7.1
Fast and Furious,Action Crime,"A street racer becomes involved with a group of skilled drivers and criminals.",2001,6.8
